sport,ranking,channel,id,index_de_similarite,status
Road Cycling,1,Global Cycling Network,UCuTaETsuCOkJ0H_GAztWt0Q,100%,PENDING
Road Cycling,2,BikeRadar,UCyrQSvn6_25rINepVZ6H0qQ,99%,DONE
Road Cycling,3,GCN Tech,UC710HJmp-YgNbE5BnFBRoeg,98%,PENDING
Rock Climbing,1,EpicTV Climbing,UCIRIbjrEHserQZ6O1Jd9wrg,100%,PENDING
Rock Climbing,2,Dave MacLeod,UChcmKGMMMemwb291yVEtXHA,99%,DONE
Rock Climbing,3,Adam Ondra,UC8eNyF9eYwgr_K-Nl4gSHWw,98%,PENDING
Running,1,The Run Experience,UCjGZ6D8hJFvLur5K_p9vKAA,100%,PENDING
Running,2,James Dunne,UCEBjuHm_Z6hz8Q6C_dm8bSg,99%,DONE
Running,3,Runner's World,UCx2Xqm8S3Ghqn5puhSKWH4Q,95%,PENDING
Scuba Diving,1,Simply Scuba,UCLIt4HLARJ-ODUEqZMMVeNQ,100%,PENDING
Scuba Diving,2,Divers Ready,UCdPKPmLGJRoyUB_0n-u-0Rg,99%,DONE
Scuba Diving,3,Alec Peirce Scuba,UCFBv1_u7CDOEAdBqedIkSeQ,95%,PENDING
Skateboarding,1,Braille Skateboarding,UC9PgszLOAWhQC6orYejcJlw,100%,PENDING
Skateboarding,2,The Berrics,UCVq1Crat76rKsgu6WosKwmA,99%,DONE
Skateboarding,3,Thrasher Magazine,UCt16NSYjauKclK67LCXvQyA,98%,PENDING
Skydiving,1,Axis Flight School,UCD9rcDqlSp_6x3HcyRD0yTA,100%,PENDING
Skydiving,2,USPA,UCrMj4Qbt3wKweAgVI-DMoww,98%,DONE
Skydiving,3,Skydive TV,UCGrQZ6r9GHLTZsTHRKUE83g,95%,PENDING
Slacklining,1,Slacktivity,UC_-N507qnw663Lu17YNrlQg,100%,PENDING
Slacklining,2,How Not To Highline,UCQvq-0fss4lNrmIz7gcPLtQ,99%,DONE
Slacklining,3,Balance Community,UCx8iaoy7PHM2M8nY5QMOL4Q,95%,PENDING
Snowboarding,1,Snowboard Addiction,UCX9chJwW7gL93LIcC3xP2uQ,100%,PENDING
Snowboarding,2,SnowboardProCamp,UCtDdB-mu47GeMOroAQOb0Sg,99%,DONE
Snowboarding,3,Shredbots,UCRU27KQ6D_vg5zRsqjiwTxA,90%,PENDING
Spearfishing,1,Spearing Magazine,UCEmG3R9sdQ_UceqwKm-XFdw,100%,PENDING
Spearfishing,2,Noob Spearo,UC_4mnBMvfLYS5nrNZ5uciQg,99%,DONE
Spearfishing,3,Daniel Mann,UC92MgD4YbIYtIskqFNMQzXQ,95%,PENDING
SUP,1,SUP Boarding Magazine,UCiCUiIxc6CsWK75idM0eMLg,100%,PENDING
SUP,2,Starboard SUP,UC3htxIhwMYw3b2pJNYZmjbQ,95%,DONE
SUP,3,Bluefin SUP,UC-0xmvrmnO4aRpiC2zDLraQ,90%,PENDING
Surfing,1,How To Surf,UCvOh9i-BOFzu51rpj33fGag,100%,PENDING
Surfing,2,Surfline,UC4i3-yfVazfuqwoz71T79Sw,99%,DONE
Surfing,3,Barefoot Surf,UCvOh9i-BOFzu51rpj33fGag,98%,PENDING
Trail Running,1,The Ginger Runner,UCSxqXJj9btSS3nrmBg8GXdQ,100%,PENDING
Trail Running,2,iRunFar,UCSMzy1n4Arqk_hCCOYOQn9g,99%,NO_VIDEOS
Trail Running,3,Billy Yang Films,UCScHdYFS_KBduqkRBjbQNuA,95%,PENDING
Wingfoiling,1,Wing Foil Magazine,UCQf8qievrZ8vF680-Ksrq7A,100%,PENDING
Wingfoiling,2,Alan Cadiz,UCPKTLpvmGrT0JN_NGHv4BNQ,98%,DONE
Wingfoiling,3,Armstrong Foils,UCNLAJd6I7LsDE8-QZC3rKUw,95%,PENDING
